,corr_with_success_rate
success_rate,1.0
performance_index,0.9804608894900184
error_recovery_rate,0.9654930720608862
accuracy_score,0.9145010840341177
efficiency_score,0.9065361612796342
cost_efficiency_ratio,0.7582950553390975
data_quality_score,0.01580227075069419
bias_detection_score,0.004354327117909572
privacy_compliance_score,-0.00046840669864855046
response_latency_ms,-0.017018756782183918
autonomous_capability_score,-0.19930969931245074
execution_time_seconds,-0.4467771132335094
cost_per_task_cents,-0.5274198897206991
autonomy_level,-0.7795301329281948
cpu_usage_percent,-0.7986203342413922
memory_usage_mb,-0.8988358474050226
task_complexity,-0.93403632647717
